Stationary,,,,,,,,,,,,,,,Rising,,,,,Lowering,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
1,,,,,1,,,,,1,,,,,1,,,,,1,,,
18,185,4,252,,18,17,4,252,,18,202,2,252,,18,200,4,134,,18,14,4,133
17,0,0,0,,17,0,0,0,,17,0,0,0,,17,0,0,0,,17,0,0,0
8,179,4,96,,8,14,4,96,,8,202,2,96,,8,236,4,2,,8,237,3,2
9,185,4,96,,9,17,4,96,,9,199,2,96,,9,242,4,2,,9,231,3,2
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
1,,,,,1,,,,,1,,,,,1,,,,,1,,,
18,185,4,252,,18,17,4,252,,18,202,2,252,,18,236,4,134,,18,237,3,133
17,0,0,0,,17,0,0,0,,17,0,0,0,,17,0,0,0,,17,0,0,0
8,179,4,96,,8,14,4,96,,8,202,2,96,,8,16,5,2,,8,204,3,2
9,185,4,96,,9,17,4,96,,9,199,2,96,,9,22,5,2,,9,198,3,2
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
1,,,,,1,,,,,1,,,,,1,,,,,1,,,
18,185,4,252,,18,17,4,252,,18,202,2,252,,18,16,5,134,,18,204,3,133
17,0,0,0,,17,0,0,0,,17,0,0,0,,17,0,0,0,,17,0,0,0
8,179,4,96,,8,14,4,96,,8,202,2,96,,8,52,5,2,,8,171,3,2
9,185,4,96,,9,17,4,96,,9,199,2,96,,9,58,5,2,,9,165,3,2
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
1,,,,,1,,,,,1,,,,,1,,,,,1,,,
18,185,4,252,,18,17,4,252,,18,202,2,252,,18,52,5,134,,18,171,3,133
17,0,0,0,,17,0,0,0,,17,0,0,0,,17,0,0,0,,17,0,0,0
8,179,4,96,,8,14,4,96,,8,202,2,96,,8,88,5,2,,8,138,3,2
9,185,4,96,,9,17,4,96,,9,199,2,96,,9,94,5,2,,9,135,3,2
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
1,,,,,1,,,,,1,,,,,1,,,,,1,,,
18,185,4,252,,,,,,,18,202,2,252,,18,88,5,134,,18,138,3,133
17,0,0,0,,,,,,,17,0,0,0,,17,0,0,0,,17,0,0,0
8,179,4,96,,,,,,,8,202,2,96,,8,124,5,2,,8,105,3,2
9,185,4,96,,,,,,,9,199,2,96,,9,130,5,2,,9,102,3,2
16,,,,,,,,,,16,,,,,16,,,,,16,,,
16,,,,,,,,,,16,,,,,16,,,,,16,,,
16,,,,,,,,,,,,,,,16,,,,,16,,,
16,,,,,,,,,,,,,,,16,,,,,16,,,
16,,,,,,,,,,,,,,,16,,,,,16,,,
16,,,,,,,,,,,,,,,16,,,,,16,,,
1,,,,,,,,,,,,,,,1,,,,,1,,,
18,185,4,252,,,,,,,,,,,,18,124,5,134,,18,105,3,133
17,0,0,0,,,,,,,,,,,,17,0,0,0,,17,0,0,0
8,179,4,96,,,,,,,,,,,,8,160,5,2,,8,72,3,2
9,185,4,96,,,,,,,,,,,,9,166,5,2,,9,66,3,2
16,,,,,,,,,,,,,,,16,,,,,16,,,
16,,,,,,,,,,,,,,,16,,,,,16,,,
16,,,,,,,,,,,,,,,16,,,,,16,,,
16,,,,,,,,,,,,,,,16,,,,,16,,,
16,,,,,,,,,,,,,,,16,,,,,16,,,
16,,,,,,,,,,,,,,,16,,,,,16,,,
1,,,,,,,,,,,,,,,1,,,,,1,,,
18,185,4,252,,,,,,,,,,,,18,160,5,134,,18,72,3,133
17,0,0,0,,,,,,,,,,,,17,0,0,0,,17,0,0,0
8,179,4,96,,,,,,,,,,,,8,196,5,2,,8,39,3,2
9,185,4,96,,,,,,,,,,,,9,202,5,2,,9,33,3,2
16,,,,,,,,,,,,,,,16,,,,,16,,,
16,,,,,,,,,,,,,,,16,,,,,16,,,
16,,,,,,,,,,,,,,,16,,,,,16,,,
16,,,,,,,,,,,,,,,16,,,,,16,,,
16,,,,,,,,,,,,,,,16,,,,,16,,,
16,,,,,,,,,,,,,,,16,,,,,16,,,
1,,,,,,,,,,,,,,,1,,,,,1,,,
18,185,4,252,,,,,,,,,,,,18,196,5,134,,18,39,3,133
17,0,0,0,,,,,,,,,,,,17,0,0,0,,,,,
8,179,4,96,,,,,,,,,,,,8,232,5,2,,,,,
9,185,4,96,,,,,,,,,,,,9,238,5,2,,,,,
16,,,,,,,,,,,,,,,16,,,,,,,,
16,,,,,,,,,,,,,,,16,,,,,,,,
16,,,,,,,,,,,,,,,16,,,,,,,,
16,,,,,,,,,,,,,,,16,,,,,,,,
16,,,,,,,,,,,,,,,16,,,,,,,,
16,,,,,,,,,,,,,,,16,,,,,,,,
1,,,,,,,,,,,,,,,1,,,,,,,,
18,185,4,252,,,,,,,,,,,,18,232,5,134,,,,,
17,0,0,0,,,,,,,,,,,,17,0,0,0,,,,,
8,179,4,96,,,,,,,,,,,,8,12,6,2,,,,,
9,185,4,96,,,,,,,,,,,,9,18,6,2,,,,,
16,,,,,,,,,,,,,,,16,,,,,,,,
16,,,,,,,,,,,,,,,16,,,,,,,,
16,,,,,,,,,,,,,,,16,,,,,,,,
16,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,1,,,,,,,,
,,,,,,,,,,,,,,,18,12,6,134,,,,,
,,,,,,,,,,,,,,,17,0,0,0,,,,,
,,,,,,,,,,,,,,,8,48,6,2,,,,,
,,,,,,,,,,,,,,,9,54,6,2,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,1,,,,,,,,
,,,,,,,,,,,,,,,18,48,6,134,,,,,
,,,,,,,,,,,,,,,17,0,0,0,,,,,
,,,,,,,,,,,,,,,8,84,6,2,,,,,
,,,,,,,,,,,,,,,9,90,6,2,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,1,,,,,,,,
,,,,,,,,,,,,,,,18,84,6,134,,,,,
,,,,,,,,,,,,,,,17,0,0,0,,,,,
,,,,,,,,,,,,,,,8,120,6,2,,,,,
,,,,,,,,,,,,,,,9,126,6,2,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,1,,,,,,,,
,,,,,,,,,,,,,,,18,120,6,134,,,,,
,,,,,,,,,,,,,,,17,0,0,0,,,,,
,,,,,,,,,,,,,,,8,156,6,2,,,,,
,,,,,,,,,,,,,,,9,162,6,2,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,1,,,,,,,,
,,,,,,,,,,,,,,,18,156,6,134,,,,,
,,,,,,,,,,,,,,,17,0,0,0,,,,,
,,,,,,,,,,,,,,,8,195,6,2,,,,,
,,,,,,,,,,,,,,,9,201,6,2,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,1,,,,,,,,
,,,,,,,,,,,,,,,18,195,6,134,,,,,
,,,,,,,,,,,,,,,17,0,0,0,,,,,
,,,,,,,,,,,,,,,8,228,6,2,,,,,
,,,,,,,,,,,,,,,9,237,6,2,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,1,,,,,,,,
,,,,,,,,,,,,,,,18,228,6,134,,,,,
,,,,,,,,,,,,,,,17,0,0,0,,,,,
,,,,,,,,,,,,,,,8,8,7,2,,,,,
,,,,,,,,,,,,,,,9,17,7,2,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,1,,,,,,,,
,,,,,,,,,,,,,,,18,8,7,134,,,,,
,,,,,,,,,,,,,,,17,0,0,0,,,,,
,,,,,,,,,,,,,,,8,44,7,2,,,,,
,,,,,,,,,,,,,,,9,53,7,2,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,1,,,,,,,,
,,,,,,,,,,,,,,,18,44,7,134,,,,,
,,,,,,,,,,,,,,,17,0,0,0,,,,,
,,,,,,,,,,,,,,,8,83,7,2,,,,,
,,,,,,,,,,,,,,,9,89,7,2,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,1,,,,,,,,
,,,,,,,,,,,,,,,18,215,7,135,,,,,
,,,,,,,,,,,,,,,17,0,0,0,,,,,
,,,,,,,,,,,,,,,8,116,7,3,,,,,
,,,,,,,,,,,,,,,9,125,7,3,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,1,,,,,,,,
,,,,,,,,,,,,,,,18,215,7,135,,,,,
,,,,,,,,,,,,,,,17,0,0,0,,,,,
,,,,,,,,,,,,,,,8,143,7,3,,,,,
,,,,,,,,,,,,,,,9,149,7,3,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,1,,,,,,,,
,,,,,,,,,,,,,,,18,215,7,135,,,,,
,,,,,,,,,,,,,,,17,0,0,0,,,,,
,,,,,,,,,,,,,,,8,158,7,3,,,,,
,,,,,,,,,,,,,,,9,164,7,3,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,1,,,,,,,,
,,,,,,,,,,,,,,,18,164,7,132,,,,,
,,,,,,,,,,,,,,,17,0,0,0,,,,,
,,,,,,,,,,,,,,,8,161,7,96,,,,,
,,,,,,,,,,,,,,,9,167,7,96,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,1,,,,,,,,
,,,,,,,,,,,,,,,18,167,7,252,,,,,
,,,,,,,,,,,,,,,17,0,0,0,,,,,
,,,,,,,,,,,,,,,8,161,7,96,,,,,
,,,,,,,,,,,,,,,9,167,7,96,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,1,,,,,,,,
,,,,,,,,,,,,,,,18,167,7,252,,,,,
,,,,,,,,,,,,,,,17,0,0,0,,,,,
,,,,,,,,,,,,,,,8,161,7,96,,,,,
,,,,,,,,,,,,,,,9,167,7,96,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,1,,,,,,,,
,,,,,,,,,,,,,,,18,167,7,252,,,,,
,,,,,,,,,,,,,,,17,0,0,0,,,,,
,,,,,,,,,,,,,,,8,161,7,96,,,,,
,,,,,,,,,,,,,,,9,167,7,96,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,1,,,,,,,,
,,,,,,,,,,,,,,,18,167,7,252,,,,,
,,,,,,,,,,,,,,,17,0,0,0,,,,,
,,,,,,,,,,,,,,,8,161,7,96,,,,,
,,,,,,,,,,,,,,,9,167,7,96,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,1,,,,,,,,
,,,,,,,,,,,,,,,18,167,7,252,,,,,
,,,,,,,,,,,,,,,17,0,0,0,,,,,
,,,,,,,,,,,,,,,8,161,7,96,,,,,
,,,,,,,,,,,,,,,9,167,7,96,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,1,,,,,,,,
,,,,,,,,,,,,,,,18,167,7,252,,,,,
,,,,,,,,,,,,,,,17,0,0,0,,,,,
,,,,,,,,,,,,,,,8,161,7,96,,,,,
,,,,,,,,,,,,,,,9,167,7,96,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,1,,,,,,,,
,,,,,,,,,,,,,,,18,167,7,252,,,,,
,,,,,,,,,,,,,,,17,0,0,0,,,,,
,,,,,,,,,,,,,,,8,161,7,96,,,,,
,,,,,,,,,,,,,,,9,167,7,96,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,1,,,,,,,,
,,,,,,,,,,,,,,,18,167,7,252,,,,,
,,,,,,,,,,,,,,,17,0,0,0,,,,,
,,,,,,,,,,,,,,,8,161,7,224,,,,,
,,,,,,,,,,,,,,,9,167,7,96,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,1,,,,,,,,
,,,,,,,,,,,,,,,18,167,7,252,,,,,
,,,,,,,,,,,,,,,17,0,0,0,,,,,
,,,,,,,,,,,,,,,8,161,7,96,,,,,
,,,,,,,,,,,,,,,9,167,7,96,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,1,,,,,,,,
,,,,,,,,,,,,,,,18,167,7,252,,,,,
