1,2,3,4,5,6,
Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,
Data 0: 255,Data 0: 255,Data 0: 255,Data 0: 255,Data 0: 255,Data 0: 255,
Data 1: 7,Data 1: 7,Data 1: 7,Data 1: 7,Data 1: 7,Data 1: 7,
Data 2: 255,Data 2: 255,Data 2: 255,Data 2: 255,Data 2: 255,Data 2: 255,
Data 3: 255,Data 3: 255,Data 3: 255,Data 3: 255,Data 3: 255,Data 3: 255,
Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,
Data 0: 255,Data 0: 255,Data 0: 255,Data 0: 255,Data 0: 255,Data 0: 255,
Data 1: 7,Data 1: 7,Data 1: 7,Data 1: 7,Data 1: 7,Data 1: 7,
Data 2: 255,Data 2: 255,Data 2: 255,Data 2: 255,Data 2: 255,Data 2: 255,
Data 3: 255,Data 3: 255,Data 3: 255,Data 3: 255,Data 3: 255,Data 3: 255,
Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,
Data 0: 255,Data 0: 255,Data 0: 255,Data 0: 255,Data 0: 255,Data 0: 255,
Data 1: 1,Data 1: 1,Data 1: 1,Data 1: 1,Data 1: 1,Data 1: 1,
Data 2: 7,Data 2: 7,Data 2: 7,Data 2: 7,Data 2: 7,Data 2: 7,
Data 3: 255,Data 3: 255,Data 3: 255,Data 3: 255,Data 3: 255,Data 3: 255,
Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,
Data 0: 208,Data 0: 208,Data 0: 208,Data 0: 208,Data 0: 208,Data 0: 208,
Data 1: 2,Data 1: 2,Data 1: 2,Data 1: 2,Data 1: 2,Data 1: 2,
Data 2: 7,Data 2: 7,Data 2: 7,Data 2: 7,Data 2: 7,Data 2: 7,
Data 3: 255,Data 3: 255,Data 3: 255,Data 3: 255,Data 3: 255,Data 3: 255,
,,,,,,
Protected ID: 61,Protected ID: 61,Protected ID: 61,Protected ID: 61,Protected ID: 61,Protected ID: 61,
Data 0: 255,Data 0: 254,Data 0: 255,Data 0: 254,Data 0: 254,Data 0: 253,
,,,,,,
Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,
Data 0: 0,Data 0: 0,Data 0: 0,Data 0: 0,Data 0: 0,Data 0: 0,
Data 1: 2,Data 1: 2,Data 1: 2,Data 1: 2,Data 1: 2,Data 1: 2,
Data 2: 7,Data 2: 7,Data 2: 7,Data 2: 7,Data 2: 7,Data 2: 7,
Data 3: 255,Data 3: 255,Data 3: 255,Data 3: 255,Data 3: 255,Data 3: 255,
,,,,,,
Protected ID: 60,Protected ID: 60,,Protected ID: 60,Protected ID: 60,,
Data 0: 1,Data 0: 1,,Data 0: 1,Data 0: 1,,
Data 1: 2,Data 1: 2,,Data 1: 2,Data 1: 2,,
Data 2: 7,Data 2: 7,,Data 2: 7,Data 2: 7,,
Data 3: 255,Data 3: 255,,Data 3: 255,Data 3: 255,,
,,,,,,
,,,,Protected ID: 60,,
,,,,Data 0: 2,,
,,,,Data 1: 2,,
,,,,Data 2: 7,,
,,,,Data 3: 255,,
,,,,,,
,,,,Protected ID: 60,,
,,,,Data 0: 3,,
,,,,Data 1: 2,,
,,,,Data 2: 7,,
,,,,Data 3: 255,,
,,,,,,
Protected ID: 61,Protected ID: 61,Protected ID: 61,Protected ID: 61,Protected ID: 61,Protected ID: 61,
Data 0: 255,Data 0: 255,Data 0: 255,Data 0: 255,Data 0: 255,Data 0: 255,
Data 1: 0,Data 1: 0,Data 1: 0,Data 1: 0,Data 1: 0,Data 1: 0,
Data 2: 0,Data 2: 0,Data 2: 0,Data 2: 0,Data 2: 0,Data 2: 0,
Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,
,,,,,,
Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,
Data 0: 1,Data 0: 1,Data 0: 0,Data 0: 1,Data 0: 3,Data 0: 0,
Data 1: 6,Data 1: 6,Data 1: 6,Data 1: 6,Data 1: 6,Data 1: 6,
Data 2: 9,Data 2: 9,Data 2: 9,Data 2: 9,Data 2: 9,Data 2: 9,
Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,
Protected ID: 61,Protected ID: 61,Protected ID: 61,Protected ID: 61,Protected ID: 61,Protected ID: 61,
Data 0: 9,Data 0: 9,Data 0: 9,Data 0: 9,Data 0: 9,Data 0: 9,
Data 1: 1,Data 1: 1,Data 1: 1,Data 1: 1,Data 1: 1,Data 1: 1,
Data 2: 255,Data 2: 255,Data 2: 255,Data 2: 255,Data 2: 255,Data 2: 255,
Data 3: 255,Data 3: 255,Data 3: 255,Data 3: 255,Data 3: 255,Data 3: 255,
,,,,,,
Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,
Data 0: 1,Data 0: 1,Data 0: 0,Data 0: 1,Data 0: 3,Data 0: 0,
Data 1: 6,Data 1: 6,Data 1: 6,Data 1: 6,Data 1: 6,Data 1: 6,
Data 2: 12,Data 2: 12,Data 2: 12,Data 2: 12,Data 2: 12,Data 2: 12,
Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,
Protected ID: 61,Protected ID: 61,Protected ID: 61,Protected ID: 61,Protected ID: 61,Protected ID: 61,
Data 0: 12,Data 0: 12,Data 0: 12,Data 0: 12,Data 0: 12,Data 0: 12,
Data 1: 26,Data 1: 26,Data 1: 26,Data 1: 26,Data 1: 26,Data 1: 26,
Data 2: 255,Data 2: 255,Data 2: 255,Data 2: 255,Data 2: 255,Data 2: 255,
Data 3: 255,Data 3: 255,Data 3: 255,Data 3: 255,Data 3: 255,Data 3: 255,
,,,,,,
Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,
Data 0: 1,Data 0: 1,Data 0: 0,Data 0: 1,Data 0: 3,Data 0: 0,
Data 1: 6,Data 1: 6,Data 1: 6,Data 1: 6,Data 1: 6,Data 1: 6,
Data 2: 13,Data 2: 13,Data 2: 13,Data 2: 13,Data 2: 13,Data 2: 13,
Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,
Protected ID: 61,Protected ID: 61,Protected ID: 61,Protected ID: 61,Protected ID: 61,Protected ID: 61,
Data 0: 13,Data 0: 13,Data 0: 13,Data 0: 13,Data 0: 13,Data 0: 13,
Data 1: 198,Data 1: 198,Data 1: 198,Data 1: 198,Data 1: 198,Data 1: 198,
Data 2: 255,Data 2: 255,Data 2: 255,Data 2: 255,Data 2: 255,Data 2: 255,
Data 3: 255,Data 3: 255,Data 3: 255,Data 3: 255,Data 3: 255,Data 3: 255,
,,,,,,
Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,
Data 0: 1,Data 0: 1,Data 0: 0,Data 0: 1,Data 0: 3,Data 0: 0,
Data 1: 6,Data 1: 6,Data 1: 6,Data 1: 6,Data 1: 6,Data 1: 6,
Data 2: 10,Data 2: 10,Data 2: 10,Data 2: 10,Data 2: 10,Data 2: 10,
Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,
Protected ID: 61,Protected ID: 61,Protected ID: 61,Protected ID: 61,Protected ID: 61,Protected ID: 61,
Data 0: 10,Data 0: 10,Data 0: 10,Data 0: 10,Data 0: 10,Data 0: 10,
Data 1: 0,Data 1: 0,Data 1: 0,Data 1: 0,Data 1: 0,Data 1: 0,
Data 2: 255,Data 2: 255,Data 2: 255,Data 2: 255,Data 2: 255,Data 2: 255,
Data 3: 255,Data 3: 255,Data 3: 255,Data 3: 255,Data 3: 255,Data 3: 255,
,,,,,,
Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,
Data 0: 1,Data 0: 1,Data 0: 0,Data 0: 1,Data 0: 3,Data 0: 0,
Data 1: 6,Data 1: 6,Data 1: 6,Data 1: 6,Data 1: 6,Data 1: 6,
Data 2: 11,Data 2: 11,Data 2: 11,Data 2: 11,Data 2: 11,Data 2: 11,
Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,
Protected ID: 61,Protected ID: 61,Protected ID: 61,Protected ID: 61,Protected ID: 61,Protected ID: 61,
Data 0: 11,Data 0: 11,Data 0: 11,Data 0: 11,Data 0: 11,Data 0: 11,
Data 1: 95,Data 1: 95,Data 1: 95,Data 1: 95,Data 1: 95,Data 1: 95,
Data 2: 255,Data 2: 255,Data 2: 255,Data 2: 255,Data 2: 255,Data 2: 255,
Data 3: 255,Data 3: 255,Data 3: 255,Data 3: 255,Data 3: 255,Data 3: 255,
,,,,,,
Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,
Data 0: 1,Data 0: 1,Data 0: 0,Data 0: 1,Data 0: 3,Data 0: 0,
Data 1: 4,Data 1: 4,Data 1: 4,Data 1: 4,Data 1: 4,Data 1: 4,
Data 2: 0,Data 2: 0,Data 2: 0,Data 2: 0,Data 2: 0,Data 2: 0,
Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,
Protected ID: 61,Protected ID: 61,Protected ID: 61,Protected ID: 61,Protected ID: 61,Protected ID: 61,
Data 0: 255,Data 0: 255,Data 0: 255,Data 0: 255,Data 0: 255,Data 0: 255,
Data 1: 0,Data 1: 0,Data 1: 0,Data 1: 0,Data 1: 0,Data 1: 0,
Data 2: 0,Data 2: 0,Data 2: 0,Data 2: 0,Data 2: 0,Data 2: 0,
Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,
Data 4: 0,Data 4: 0,Data 4: 0,Data 4: 0,Data 4: 0,Data 4: 0,
,,,,,,
Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,
Data 0: 2,Data 0: 2,Data 0: 1,Data 0: 2,Data 0: 4,Data 0: 1,
Data 1: 2,Data 1: 2,Data 1: 2,Data 1: 2,Data 1: 2,Data 1: 2,
Data 2: 0,Data 2: 0,Data 2: 0,Data 2: 0,Data 2: 0,Data 2: 0,
Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,
,,,,,,
,Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,
,Data 0: 3,Data 0: 2,Data 0: 3,Data 0: 5,Data 0: 2,
,Data 1: 2,Data 1: 2,Data 1: 2,Data 1: 2,Data 1: 2,
,Data 2: 0,Data 2: 0,Data 2: 0,Data 2: 0,Data 2: 0,
,Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,
,,,,,,
,Protected ID: 60,,,,Protected ID: 60,
,Data 0: 4,,,,Data 0: 3,
,Data 1: 2,,,,Data 1: 2,
,Data 2: 0,,,,Data 2: 0,
,Data 3: 0,,,,Data 3: 0,
,,,,,,
,Protected ID: 60,,,,Protected ID: 60,
,Data 0: 5,,,,Data 0: 4,
,Data 1: 2,,,,Data 1: 2,
,Data 2: 0,,,,Data 2: 0,
,Data 3: 0,,,,Data 3: 0,
,,,,,,
,,,,,Protected ID: 60,
,,,,,Data 0: 5,
,,,,,Data 1: 2,
,,,,,Data 2: 0,
,,,,,Data 3: 0,
,,,,,,
,,,,,Protected ID: 60,
,,,,,Data 0: 6,
,,,,,Data 1: 2,
,,,,,Data 2: 0,
,,,,,Data 3: 0,
,,,,,,
,,,,,Protected ID: 60,
,,,,,Data 0: 7,
,,,,,Data 1: 2,
,,,,,Data 2: 0,
,,,,,Data 3: 0,
Protected ID: 61,Protected ID: 61,Protected ID: 61,Protected ID: 61,Protected ID: 61,Protected ID: 61,
Data 0: 255,Data 0: 255,Data 0: 255,Data 0: 255,Data 0: 255,Data 0: 255,
Data 1: 0,Data 1: 0,Data 1: 0,Data 1: 0,Data 1: 0,Data 1: 0,
Data 2: 0,Data 2: 0,Data 2: 0,Data 2: 0,Data 2: 0,Data 2: 0,
Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,
,,,,,,
Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,
Data 0: 2,Data 0: 5,Data 0: 2,Data 0: 3,Data 0: 5,Data 0: 7,
Data 1: 6,Data 1: 6,Data 1: 6,Data 1: 6,Data 1: 6,Data 1: 6,
Data 2: 9,Data 2: 9,Data 2: 9,Data 2: 9,Data 2: 9,Data 2: 9,
Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,
Protected ID: 61,Protected ID: 61,Protected ID: 61,Protected ID: 61,Protected ID: 61,Protected ID: 61,
Data 0: 9,Data 0: 9,Data 0: 9,Data 0: 9,Data 0: 9,Data 0: 9,
Data 1: 1,Data 1: 1,Data 1: 1,Data 1: 1,Data 1: 1,Data 1: 1,
Data 2: 255,Data 2: 255,Data 2: 255,Data 2: 255,Data 2: 255,Data 2: 255,
Data 3: 255,Data 3: 255,Data 3: 255,Data 3: 255,Data 3: 255,Data 3: 255,
,,,,,,
Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,
Data 0: 2,Data 0: 5,Data 0: 2,Data 0: 3,Data 0: 5,Data 0: 7,
Data 1: 6,Data 1: 6,Data 1: 6,Data 1: 6,Data 1: 6,Data 1: 6,
Data 2: 12,Data 2: 12,Data 2: 12,Data 2: 12,Data 2: 12,Data 2: 12,
Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,
Protected ID: 61,Protected ID: 61,Protected ID: 61,Protected ID: 61,Protected ID: 61,Protected ID: 61,
Data 0: 12,Data 0: 12,Data 0: 12,Data 0: 12,Data 0: 12,Data 0: 12,
Data 1: 26,Data 1: 26,Data 1: 26,Data 1: 26,Data 1: 26,Data 1: 26,
Data 2: 255,Data 2: 255,Data 2: 255,Data 2: 255,Data 2: 255,Data 2: 255,
Data 3: 255,Data 3: 255,Data 3: 255,Data 3: 255,Data 3: 255,Data 3: 255,
,,,,,,
Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,
Data 0: 2,Data 0: 5,Data 0: 2,Data 0: 3,Data 0: 5,Data 0: 7,
Data 1: 6,Data 1: 6,Data 1: 6,Data 1: 6,Data 1: 6,Data 1: 6,
Data 2: 13,Data 2: 13,Data 2: 13,Data 2: 13,Data 2: 13,Data 2: 13,
Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,
Protected ID: 61,Protected ID: 61,Protected ID: 61,Protected ID: 61,Protected ID: 61,Protected ID: 61,
Data 0: 13,Data 0: 13,Data 0: 13,Data 0: 13,Data 0: 13,Data 0: 13,
Data 1: 198,Data 1: 198,Data 1: 198,Data 1: 198,Data 1: 198,Data 1: 198,
Data 2: 255,Data 2: 255,Data 2: 255,Data 2: 255,Data 2: 255,Data 2: 255,
Data 3: 255,Data 3: 255,Data 3: 255,Data 3: 255,Data 3: 255,Data 3: 255,
,,,,,,
Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,
Data 0: 2,Data 0: 5,Data 0: 2,Data 0: 3,Data 0: 5,Data 0: 7,
Data 1: 6,Data 1: 6,Data 1: 6,Data 1: 6,Data 1: 6,Data 1: 6,
Data 2: 10,Data 2: 10,Data 2: 10,Data 2: 10,Data 2: 10,Data 2: 10,
Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,
Protected ID: 61,Protected ID: 61,Protected ID: 61,Protected ID: 61,Protected ID: 61,Protected ID: 61,
Data 0: 10,Data 0: 10,Data 0: 10,Data 0: 10,Data 0: 10,Data 0: 10,
Data 1: 0,Data 1: 0,Data 1: 0,Data 1: 0,Data 1: 0,Data 1: 0,
Data 2: 255,Data 2: 255,Data 2: 255,Data 2: 255,Data 2: 255,Data 2: 255,
Data 3: 255,Data 3: 255,Data 3: 255,Data 3: 255,Data 3: 255,Data 3: 255,
,,,,,,
Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,
Data 0: 2,Data 0: 5,Data 0: 2,Data 0: 3,Data 0: 5,Data 0: 7,
Data 1: 6,Data 1: 6,Data 1: 6,Data 1: 6,Data 1: 6,Data 1: 6,
Data 2: 11,Data 2: 11,Data 2: 11,Data 2: 11,Data 2: 11,Data 2: 11,
Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,
Protected ID: 61,Protected ID: 61,Protected ID: 61,Protected ID: 61,Protected ID: 61,Protected ID: 61,
Data 0: 11,Data 0: 11,Data 0: 11,Data 0: 11,Data 0: 11,Data 0: 11,
Data 1: 95,Data 1: 95,Data 1: 95,Data 1: 95,Data 1: 95,Data 1: 95,
Data 2: 255,Data 2: 255,Data 2: 255,Data 2: 255,Data 2: 255,Data 2: 255,
Data 3: 255,Data 3: 255,Data 3: 255,Data 3: 255,Data 3: 255,Data 3: 255,
,,,,,,
Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,
Data 0: 2,Data 0: 5,Data 0: 2,Data 0: 3,Data 0: 5,Data 0: 7,
Data 1: 4,Data 1: 4,Data 1: 4,Data 1: 4,Data 1: 4,Data 1: 4,
Data 2: 1,Data 2: 1,Data 2: 1,Data 2: 1,Data 2: 1,Data 2: 1,
Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,
Protected ID: 61,Protected ID: 61,Protected ID: 61,Protected ID: 61,Protected ID: 61,Protected ID: 61,
Data 0: 255,Data 0: 255,Data 0: 255,Data 0: 255,Data 0: 255,Data 0: 255,
Data 1: 1,Data 1: 1,Data 1: 1,Data 1: 1,Data 1: 1,Data 1: 1,
Data 2: 0,Data 2: 0,Data 2: 0,Data 2: 0,Data 2: 0,Data 2: 0,
Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,
Data 4: 0,Data 4: 0,Data 4: 0,Data 4: 0,Data 4: 0,Data 4: 0,
,,,,,,
Protected ID: 60,,Protected ID: 60,Protected ID: 60,,,
Data 0: 3,,Data 0: 3,Data 0: 4,,,
Data 1: 2,,Data 1: 2,Data 1: 2,,,
Data 2: 1,,Data 2: 1,Data 2: 1,,,
Data 3: 0,,Data 3: 0,Data 3: 0,,,
,,,,,,
Protected ID: 60,,Protected ID: 60,Protected ID: 60,,,
Data 0: 4,,Data 0: 4,Data 0: 5,,,
Data 1: 2,,Data 1: 2,Data 1: 2,,,
Data 2: 1,,Data 2: 1,Data 2: 1,,,
Data 3: 0,,Data 3: 0,Data 3: 0,,,
,,,,,,
Protected ID: 60,,Protected ID: 60,Protected ID: 60,Protected ID: 60,,
Data 0: 5,,Data 0: 5,Data 0: 6,Data 0: 6,,
Data 1: 2,,Data 1: 2,Data 1: 2,Data 1: 2,,
Data 2: 1,,Data 2: 1,Data 2: 1,Data 2: 1,,
Data 3: 0,,Data 3: 0,Data 3: 0,Data 3: 0,,
,,,,,,
Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,,
Data 0: 6,Data 0: 6,Data 0: 6,Data 0: 7,Data 0: 7,,
Data 1: 2,Data 1: 2,Data 1: 2,Data 1: 2,Data 1: 2,,
Data 2: 1,Data 2: 1,Data 2: 1,Data 2: 1,Data 2: 1,,
Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,,
,,,,,,
Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,
Data 0: 7,Data 0: 7,Data 0: 7,Data 0: 208,Data 0: 208,Data 0: 208,
Data 1: 2,Data 1: 2,Data 1: 2,Data 1: 1,Data 1: 1,Data 1: 1,
Data 2: 1,Data 2: 1,Data 2: 1,Data 2: 7,Data 2: 7,Data 2: 7,
Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,
,,,,,,
Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,
Data 0: 208,Data 0: 208,Data 0: 208,Data 0: 208,Data 0: 208,Data 0: 208,
Data 1: 1,Data 1: 1,Data 1: 1,Data 1: 2,Data 1: 2,Data 1: 2,
Data 2: 7,Data 2: 7,Data 2: 7,Data 2: 7,Data 2: 7,Data 2: 7,
Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,
,,,,,,
Protected ID: 60,Protected ID: 60,Protected ID: 60,,,,
Data 0: 208,Data 0: 208,Data 0: 208,,,,
Data 1: 2,Data 1: 2,Data 1: 2,,,,
Data 2: 7,Data 2: 7,Data 2: 7,,,,
Data 3: 0,Data 3: 0,Data 3: 0,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Protected ID: 17,Protected ID: 17,Protected ID: 17,Protected ID: 17,Protected ID: 17,Protected ID: 17,Sequence of magic packet begins here
Data 0: 0,Data 0: 0,Data 0: 0,Data 0: 0,Data 0: 0,Data 0: 0,
Data 1: 0,Data 1: 0,Data 1: 0,Data 1: 0,Data 1: 0,Data 1: 0,
Data 2: 0,Data 2: 0,Data 2: 0,Data 2: 0,Data 2: 0,Data 2: 0,
,,,,,,
Protected ID: 8,Protected ID: 8,Protected ID: 8,Protected ID: 8,Protected ID: 8,Protected ID: 8,
Data 0: 149,Data 0: 149,Data 0: 164,Data 0: 149,Data 0: 164,Data 0: 149,
Data 1: 4,Data 1: 4,Data 1: 4,Data 1: 4,Data 1: 4,Data 1: 4,
Data 2: 224,Data 2: 224,Data 2: 224,Data 2: 224,Data 2: 224,Data 2: 224,
,,,,,,
Protected ID: 9,Protected ID: 9,Protected ID: 9,Protected ID: 9,Protected ID: 9,Protected ID: 9,
Data 0: 164,Data 0: 164,Data 0: 149,Data 0: 164,Data 0: 149,Data 0: 164,
Data 1: 4,Data 1: 4,Data 1: 4,Data 1: 4,Data 1: 4,Data 1: 4,
Data 2: 224,Data 2: 224,Data 2: 224,Data 2: 224,Data 2: 224,Data 2: 224,
,,,,,,
Protected ID: 16,Protected ID: 16,Protected ID: 16,Protected ID: 16,Protected ID: 16,Protected ID: 16,
Protected ID: 16,Protected ID: 16,Protected ID: 16,Protected ID: 16,Protected ID: 16,Protected ID: 16,
Protected ID: 16,Protected ID: 16,Protected ID: 16,Protected ID: 16,Protected ID: 16,Protected ID: 16,
Protected ID: 16,Protected ID: 16,Protected ID: 16,Protected ID: 16,Protected ID: 16,Protected ID: 16,
Protected ID: 16,Protected ID: 16,Protected ID: 16,Protected ID: 16,Protected ID: 16,Protected ID: 16,
Protected ID: 16,Protected ID: 16,Protected ID: 16,Protected ID: 16,Protected ID: 16,Protected ID: 16,
Protected ID: 1,Protected ID: 1,Protected ID: 1,Protected ID: 1,Protected ID: 1,Protected ID: 1,
,,,,,,
Protected ID: 18,Protected ID: 18,Protected ID: 18,Protected ID: 18,Protected ID: 18,Protected ID: 18,
Data 0: 246,Data 0: 246,Data 0: 246,Data 0: 246,Data 0: 246,Data 0: 246,
Data 1: 255,Data 1: 255,Data 1: 255,Data 1: 255,Data 1: 255,Data 1: 255,
Data 2: 191,Data 2: 191,Data 2: 191,Data 2: 191,Data 2: 191,Data 2: 191,
